Air submersion.                                                               19-09-2019
                                                                                       |
e: Nuclide-specific effective dose rate coefficient          (nSv h-1 Bq-1 m3)         |
h: Nuclide-specific ambient dose equivalent rate coefficient (nSv h-1 Bq-1 m3)         |
k: Nuclide-specific air kerma free in air rate coefficient   (nGy h-1 Bq-1 m3)         |
----------------------------------------------------------------------------------------
                e                                                     h        k       |
Nuclide             Adult    15 yr    10 yr     5 yr     1 yr  Newborn                 |
----------------------------------------------------------------------------------------
Bi-203           3.97E-01 4.14E-01 4.17E-01 4.36E-01 4.48E-01 4.71E-01 6.69E-01 5.43E-01
Bi-204           4.68E-01 4.90E-01 4.96E-01 5.21E-01 5.37E-01 5.63E-01 8.28E-01 6.56E-01
Bi-205           2.81E-01 2.93E-01 2.95E-01 3.09E-01 3.17E-01 3.33E-01 4.74E-01 3.85E-01
Bi-206           5.23E-01 5.45E-01 5.53E-01 5.81E-01 5.99E-01 6.29E-01 9.31E-01 7.35E-01
Bi-207           2.43E-01 2.54E-01 2.58E-01 2.72E-01 2.81E-01 2.94E-01 4.36E-01 3.43E-01
Bi-208           4.82E-01 4.99E-01 5.00E-01 5.21E-01 5.24E-01 5.47E-01 7.21E-01 6.16E-01
Bi-210           8.41E-04 7.94E-04 8.26E-04 8.01E-04 8.60E-04 1.05E-03 2.42E-04 1.88E-04
Bi-210m          3.71E-02 3.92E-02 4.05E-02 4.32E-02 4.41E-02 4.61E-02 7.92E-02 5.52E-02
Bi-211           6.80E-03 7.14E-03 7.39E-03 7.88E-03 8.06E-03 8.40E-03 1.43E-02 1.01E-02
Bi-212           1.83E-02 1.87E-02 1.94E-02 2.03E-02 2.15E-02 2.35E-02 2.96E-02 2.38E-02
Bi-212n          1.37E-03 1.22E-03 1.38E-03 1.35E-03 1.60E-03 2.17E-03 4.44E-04 3.36E-04
Bi-213           1.98E-02 2.05E-02 2.13E-02 2.25E-02 2.32E-02 2.45E-02 3.79E-02 2.78E-02
Bi-214           2.51E-01 2.61E-01 2.64E-01 2.76E-01 2.84E-01 2.99E-01 4.16E-01 3.39E-01
Bi-215           3.99E-02 4.16E-02 4.29E-02 4.53E-02 4.70E-02 4.99E-02 7.50E-02 5.57E-02
Bi-216           1.17E-01 1.20E-01 1.27E-01 1.34E-01 1.42E-01 1.51E-01 2.16E-01 1.62E-01
Bk-245           2.79E-02 2.96E-02 3.10E-02 3.32E-02 3.47E-02 3.65E-02 6.68E-02 4.54E-02
Bk-246           1.31E-01 1.37E-01 1.39E-01 1.46E-01 1.52E-01 1.59E-01 2.39E-01 1.89E-01
Bk-247           1.85E-02 1.97E-02 2.04E-02 2.20E-02 2.29E-02 2.38E-02 4.36E-02 2.89E-02
Bk-248m          7.14E-03 7.44E-03 7.76E-03 8.26E-03 8.62E-03 9.07E-03 1.53E-02 1.14E-02
Bk-249           1.25E-06 1.27E-06 1.32E-06 1.36E-06 1.35E-06 1.26E-06 1.33E-06 2.01E-06
Bk-250           1.47E-01 1.55E-01 1.56E-01 1.63E-01 1.69E-01 1.77E-01 2.53E-01 2.05E-01
Bk-251           1.04E-02 1.10E-02 1.16E-02 1.23E-02 1.30E-02 1.38E-02 2.50E-02 1.72E-02
Br-72            5.03E-01 5.25E-01 5.49E-01 5.75E-01 5.99E-01 6.39E-01 8.52E-01 6.73E-01
Br-73            2.22E-01 2.29E-01 2.39E-01 2.53E-01 2.65E-01 2.80E-01 4.17E-01 3.14E-01
Br-74            8.07E-01 8.32E-01 8.46E-01 8.85E-01 8.96E-01 9.36E-01 1.27E+00 1.05E+00
Br-74m           6.99E-01 7.23E-01 7.38E-01 7.74E-01 7.93E-01 8.32E-01 1.16E+00 9.39E-01
Br-75            1.79E-01 1.86E-01 1.92E-01 2.04E-01 2.10E-01 2.20E-01 3.52E-01 2.59E-01
Br-76            4.69E-01 4.86E-01 4.94E-01 5.18E-01 5.30E-01 5.56E-01 7.84E-01 6.34E-01
Br-76m           2.99E-03 3.17E-03 3.36E-03 3.82E-03 4.12E-03 4.53E-03 9.39E-03 9.01E-03
Br-77            4.67E-02 4.86E-02 5.01E-02 5.32E-02 5.48E-02 5.73E-02 9.27E-02 6.98E-02
Br-77m           1.67E-03 1.78E-03 1.89E-03 2.04E-03 2.18E-03 2.29E-03 4.28E-03 4.03E-03
Br-78            1.59E-01 1.63E-01 1.70E-01 1.80E-01 1.88E-01 1.98E-01 3.01E-01 2.26E-01
Br-80            1.38E-02 1.38E-02 1.47E-02 1.55E-02 1.67E-02 1.86E-02 2.25E-02 1.72E-02
Br-80m           7.40E-04 8.24E-04 8.97E-04 1.08E-03 1.17E-03 1.49E-03 4.00E-03 5.74E-03
Br-82            4.22E-01 4.38E-01 4.45E-01 4.68E-01 4.83E-01 5.08E-01 7.48E-01 5.92E-01
Br-82m           6.12E-04 6.12E-04 6.93E-04 7.25E-04 8.32E-04 9.62E-04 9.51E-04 2.21E-03
Br-83            1.68E-03 1.69E-03 1.73E-03 1.78E-03 1.83E-03 1.95E-03 2.15E-03 1.62E-03
Br-84            3.18E-01 3.29E-01 3.36E-01 3.50E-01 3.58E-01 3.77E-01 4.88E-01 4.08E-01
Br-84m           4.60E-01 4.80E-01 4.85E-01 5.08E-01 5.23E-01 5.52E-01 7.85E-01 6.31E-01
Br-85            1.50E-02 1.48E-02 1.65E-02 1.72E-02 1.96E-02 2.29E-02 2.02E-02 1.61E-02
C-10             2.68E-01 2.76E-01 2.85E-01 3.01E-01 3.12E-01 3.27E-01 5.02E-01 3.83E-01
C-11             1.53E-01 1.58E-01 1.63E-01 1.74E-01 1.79E-01 1.87E-01 2.96E-01 2.21E-01
C-14             6.29E-06 6.76E-06 6.87E-06 6.85E-06 6.86E-06 6.60E-06 2.93E-06 4.08E-06
Ca-41            0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
Ca-45            3.73E-05 4.02E-05 4.00E-05 4.02E-05 4.10E-05 4.07E-05 8.97E-06 9.97E-06
Ca-47            1.78E-01 1.87E-01 1.88E-01 1.96E-01 2.02E-01 2.13E-01 2.96E-01 2.42E-01
Ca-49            5.94E-01 6.11E-01 6.15E-01 6.41E-01 6.41E-01 6.68E-01 8.55E-01 7.40E-01
Cd-101           4.09E-01 4.25E-01 4.34E-01 4.55E-01 4.69E-01 4.95E-01 7.04E-01 5.61E-01
Cd-102           1.27E-01 1.32E-01 1.35E-01 1.43E-01 1.47E-01 1.54E-01 2.40E-01 1.85E-01
